Grupamento_Atividades;Período;Estoque;Admissões;Desligamentos;Saldos
Administração Pública, Defesa e Seguridade Social;1/2020;977901;3961;4406;-445
Administração Pública, Defesa e Seguridade Social;1/2021;975935;6800;4582;2218
Administração Pública, Defesa e Seguridade Social;1/2022;976305;6084;4869;1215
Administração Pública, Defesa e Seguridade Social;1/2023;1003020;16266;8022;8244
Administração Pública, Defesa e Seguridade Social;10/2020;991552;1881;2435;-554
Administração Pública, Defesa e Seguridade Social;10/2021;992935;5043;4117;926
Administração Pública, Defesa e Seguridade Social;10/2022;1015854;6593;3938;2655
Administração Pública, Defesa e Seguridade Social;11/2020;989160;1640;4032;-2392
Administração Pública, Defesa e Seguridade Social;11/2021;992873;3736;3798;-62
Administração Pública, Defesa e Seguridade Social;11/2022;1017629;5781;4006;1775
Administração Pública, Defesa e Seguridade Social;12/2020;973717;1332;16775;-15443
Administração Pública, Defesa e Seguridade Social;12/2021;975090;2370;20153;-17783
Administração Pública, Defesa e Seguridade Social;12/2022;994776;4390;27243;-22853
Administração Pública, Defesa e Seguridade Social;2/2020;989152;15470;4219;11251
Administração Pública, Defesa e Seguridade Social;2/2021;982564;10619;3990;6629
Administração Pública, Defesa e Seguridade Social;2/2022;988018;20466;8753;11713
Administração Pública, Defesa e Seguridade Social;2/2023;1023101;26038;5957;20081
Administração Pública, Defesa e Seguridade Social;3/2020;992624;6957;3485;3472
Administração Pública, Defesa e Seguridade Social;3/2021;985816;7303;4051;3252
Administração Pública, Defesa e Seguridade Social;3/2022;993613;11487;5892;5595
Administração Pública, Defesa e Seguridade Social;3/2023;1031466;14132;5767;8365
Administração Pública, Defesa e Seguridade Social;4/2020;992574;2424;2474;-50
Administração Pública, Defesa e Seguridade Social;4/2021;987472;5201;3545;1656
Administração Pública, Defesa e Seguridade Social;4/2022;996545;8561;5629;2932
Administração Pública, Defesa e Seguridade Social;4/2023;1036047;9386;4805;4581
Administração Pública, Defesa e Seguridade Social;5/2020;993058;3235;2751;484
Administração Pública, Defesa e Seguridade Social;5/2021;988545;5050;3977;1073
Administração Pública, Defesa e Seguridade Social;5/2022;998306;7697;5936;1761
Administração Pública, Defesa e Seguridade Social;5/2023;1038763;8810;6094;2716
Administração Pública, Defesa e Seguridade Social;6/2020;992788;2402;2672;-270
Administração Pública, Defesa e Seguridade Social;6/2021;989226;4431;3750;681
Administração Pública, Defesa e Seguridade Social;6/2022;1001335;8324;5295;3029
Administração Pública, Defesa e Seguridade Social;7/2020;992313;2534;3009;-475
Administração Pública, Defesa e Seguridade Social;7/2021;989919;4363;3670;693
Administração Pública, Defesa e Seguridade Social;7/2022;1005434;9284;5185;4099
Administração Pública, Defesa e Seguridade Social;8/2020;992258;3255;3310;-55
Administração Pública, Defesa e Seguridade Social;8/2021;991065;5955;4809;1146
Administração Pública, Defesa e Seguridade Social;8/2022;1010036;10202;5600;4602
Administração Pública, Defesa e Seguridade Social;9/2020;992106;2262;2414;-152
Administração Pública, Defesa e Seguridade Social;9/2021;992009;5663;4719;944
Administração Pública, Defesa e Seguridade Social;9/2022;1013199;7858;4695;3163
Agricultura, pecuária, produção florestal, pesca e aquicultura;1/2020;1427862;69520;53425;16095
Agricultura, pecuária, produção florestal, pesca e aquicultura;1/2021;1509589;88199;55316;32883
Agricultura, pecuária, produção florestal, pesca e aquicultura;1/2022;1647477;106242;81228;25014
Agricultura, pecuária, produção florestal, pesca e aquicultura;1/2023;1708731;111632;88485;23147
Agricultura, pecuária, produção florestal, pesca e aquicultura;10/2020;1516795;65023;65320;-297
Agricultura, pecuária, produção florestal, pesca e aquicultura;10/2021;1665333;83540;89384;-5844
Agricultura, pecuária, produção florestal, pesca e aquicultura;10/2022;1740716;91032;92467;-1435
Agricultura, pecuária, produção florestal, pesca e aquicultura;11/2020;1500474;55550;71871;-16321
Agricultura, pecuária, produção florestal, pesca e aquicultura;11/2021;1648536;73989;90786;-16797
Agricultura, pecuária, produção florestal, pesca e aquicultura;11/2022;1722505;80060;98271;-18211
Agricultura, pecuária, produção florestal, pesca e aquicultura;12/2020;1476706;45905;69673;-23768
Agricultura, pecuária, produção florestal, pesca e aquicultura;12/2021;1622463;63456;89529;-26073
Agricultura, pecuária, produção florestal, pesca e aquicultura;12/2022;1685584;63391;100312;-36921
Agricultura, pecuária, produção florestal, pesca e aquicultura;2/2020;1432804;70254;65312;4942
Agricultura, pecuária, produção florestal, pesca e aquicultura;2/2021;1532464;87523;64648;22875
Agricultura, pecuária, produção florestal, pesca e aquicultura;2/2022;1664892;104570;87155;17415
Agricultura, pecuária, produção florestal, pesca e aquicultura;2/2023;1725015;104811;88527;16284
Agricultura, pecuária, produção florestal, pesca e aquicultura;3/2020;1428355;68635;73084;-4449
Agricultura, pecuária, produção florestal, pesca e aquicultura;3/2021;1535874;89350;85940;3410
Agricultura, pecuária, produção florestal, pesca e aquicultura;3/2022;1648897;98510;114505;-15995
Agricultura, pecuária, produção florestal, pesca e aquicultura;3/2023;1724683;117601;117933;-332
Agricultura, pecuária, produção florestal, pesca e aquicultura;4/2020;1422914;52759;58200;-5441
Agricultura, pecuária, produção florestal, pesca e aquicultura;4/2021;1547000;85399;74273;11126
Agricultura, pecuária, produção florestal, pesca e aquicultura;4/2022;1647876;95820;96841;-1021
Agricultura, pecuária, produção florestal, pesca e aquicultura;4/2023;1727585;103483;100581;2902
Agricultura, pecuária, produção florestal, pesca e aquicultura;5/2020;1438694;69794;54014;15780
Agricultura, pecuária, produção florestal, pesca e aquicultura;5/2021;1589280;105783;63503;42280
Agricultura, pecuária, produção florestal, pesca e aquicultura;5/2022;1674623;121088;94341;26747
Agricultura, pecuária, produção florestal, pesca e aquicultura;5/2023;1747144;128396;108837;19559
Agricultura, pecuária, produção florestal, pesca e aquicultura;6/2020;1475523;84013;47184;36829
Agricultura, pecuária, produção florestal, pesca e aquicultura;6/2021;1627661;104436;66055;38381
Agricultura, pecuária, produção florestal, pesca e aquicultura;6/2022;1709083;123008;88548;34460
Agricultura, pecuária, produção florestal, pesca e aquicultura;7/2020;1498488;73886;50921;22965
Agricultura, pecuária, produção florestal, pesca e aquicultura;7/2021;1653181;93045;67525;25520
Agricultura, pecuária, produção florestal, pesca e aquicultura;7/2022;1724953;103950;88080;15870
Agricultura, pecuária, produção florestal, pesca e aquicultura;8/2020;1509172;66190;55506;10684
Agricultura, pecuária, produção florestal, pesca e aquicultura;8/2021;1662291;84941;75831;9110
Agricultura, pecuária, produção florestal, pesca e aquicultura;8/2022;1732677;103696;95972;7724
Agricultura, pecuária, produção florestal, pesca e aquicultura;9/2020;1517092;68302;60382;7920
Agricultura, pecuária, produção florestal, pesca e aquicultura;9/2021;1671177;90004;81118;8886
Agricultura, pecuária, produção florestal, pesca e aquicultura;9/2022;1742151;99961;90487;9474
Alojamento e alimentação;1/2020;1796196;93304;90524;2780
Alojamento e alimentação;1/2021;1545148;79572;74854;4718
Alojamento e alimentação;1/2022;1715851;101794;99787;2007
Alojamento e alimentação;1/2023;1882657;113539;115891;-2352
Alojamento e alimentação;10/2020;1481475;81084;55159;25925
Alojamento e alimentação;10/2021;1657321;115681;82820;32861
Alojamento e alimentação;10/2022;1863519;116772;102177;14595
Alojamento e alimentação;11/2020;1517182;88563;52856;35707
Alojamento e alimentação;11/2021;1693737;118262;81846;36416
Alojamento e alimentação;11/2022;1884990;118602;97131;21471
Alojamento e alimentação;12/2020;1540430;81095;57847;23248
Alojamento e alimentação;12/2021;1713844;110965;90858;20107
Alojamento e alimentação;12/2022;1885009;102224;102205;19
Alojamento e alimentação;2/2020;1807886;98571;86881;11690
Alojamento e alimentação;2/2021;1561994;87386;70540;16846
Alojamento e alimentação;2/2022;1736290;118279;97840;20439
Alojamento e alimentação;2/2023;1898118;125257;109796;15461
Alojamento e alimentação;3/2020;1726512;71103;152477;-81374
Alojamento e alimentação;3/2021;1530981;58066;89079;-31013
Alojamento e alimentação;3/2022;1743341;114721;107670;7051
Alojamento e alimentação;3/2023;1909431;137023;125710;11313
Alojamento e alimentação;4/2020;1590110;12308;148710;-136402
Alojamento e alimentação;4/2021;1506418;43690;68253;-24563
Alojamento e alimentação;4/2022;1762757;117583;98167;19416
Alojamento e alimentação;4/2023;1918601;116169;106999;9170
Alojamento e alimentação;5/2020;1532103;14057;72064;-58007
Alojamento e alimentação;5/2021;1512460;65911;59869;6042
Alojamento e alimentação;5/2022;1784083;121221;99895;21326
Alojamento e alimentação;5/2023;1923947;120181;114835;5346
Alojamento e alimentação;6/2020;1493999;17676;55780;-38104
Alojamento e alimentação;6/2021;1530741;76580;58299;18281
Alojamento e alimentação;6/2022;1801841;113188;95430;17758
Alojamento e alimentação;7/2020;1467148;26227;53078;-26851
Alojamento e alimentação;7/2021;1559001;90393;62133;28260
Alojamento e alimentação;7/2022;1814274;113707;101274;12433
Alojamento e alimentação;8/2020;1451211;38785;54722;-15937
Alojamento e alimentação;8/2021;1592730;109908;76179;33729
Alojamento e alimentação;8/2022;1830858;123685;107101;16584
Alojamento e alimentação;9/2020;1455550;55397;51058;4339
Alojamento e alimentação;9/2021;1624460;111105;79375;31730
Alojamento e alimentação;9/2022;1848924;120619;102553;18066
Artes, Cultura, Esporte e Recreação;1/2020;240515;9984;8064;1920
Artes, Cultura, Esporte e Recreação;1/2021;212178;7233;7356;-123
Artes, Cultura, Esporte e Recreação;1/2022;232711;11750;8905;2845
Artes, Cultura, Esporte e Recreação;1/2023;259354;13762;10593;3169
Artes, Cultura, Esporte e Recreação;10/2020;210467;7955;5121;2834
Artes, Cultura, Esporte e Recreação;10/2021;226529;11202;7646;3556
Artes, Cultura, Esporte e Recreação;10/2022;254543;11072;9413;1659
Artes, Cultura, Esporte e Recreação;11/2020;213152;7726;5041;2685
Artes, Cultura, Esporte e Recreação;11/2021;229054;11003;8478;2525
Artes, Cultura, Esporte e Recreação;11/2022;256255;10878;9166;1712
Artes, Cultura, Esporte e Recreação;12/2020;212301;5947;6798;-851
Artes, Cultura, Esporte e Recreação;12/2021;229866;10035;9223;812
Artes, Cultura, Esporte e Recreação;12/2022;256185;10164;10234;-70
Artes, Cultura, Esporte e Recreação;2/2020;241986;9603;8132;1471
Artes, Cultura, Esporte e Recreação;2/2021;214159;8834;6853;1981
Artes, Cultura, Esporte e Recreação;2/2022;235622;12227;9316;2911
Artes, Cultura, Esporte e Recreação;2/2023;261839;12951;10466;2485
Artes, Cultura, Esporte e Recreação;3/2020;236674;6937;12249;-5312
Artes, Cultura, Esporte e Recreação;3/2021;211806;5693;8046;-2353
Artes, Cultura, Esporte e Recreação;3/2022;236782;12337;11177;1160
Artes, Cultura, Esporte e Recreação;3/2023;263156;14049;12732;1317
Artes, Cultura, Esporte e Recreação;4/2020;222090;884;15468;-14584
Artes, Cultura, Esporte e Recreação;4/2021;209980;4810;6636;-1826
Artes, Cultura, Esporte e Recreação;4/2022;240029;13116;9869;3247
Artes, Cultura, Esporte e Recreação;4/2023;265756;13142;10542;2600
Artes, Cultura, Esporte e Recreação;5/2020;216402;827;6515;-5688
Artes, Cultura, Esporte e Recreação;5/2021;210626;7547;6901;646
Artes, Cultura, Esporte e Recreação;5/2022;242485;11762;9306;2456
Artes, Cultura, Esporte e Recreação;5/2023;268090;12945;10611;2334
Artes, Cultura, Esporte e Recreação;6/2020;211881;1151;5672;-4521
Artes, Cultura, Esporte e Recreação;6/2021;212041;7788;6373;1415
Artes, Cultura, Esporte e Recreação;6/2022;244564;11288;9209;2079
Artes, Cultura, Esporte e Recreação;7/2020;209029;2114;4966;-2852
Artes, Cultura, Esporte e Recreação;7/2021;214596;8644;6089;2555
Artes, Cultura, Esporte e Recreação;7/2022;246825;11858;9597;2261
Artes, Cultura, Esporte e Recreação;8/2020;207225;3393;5197;-1804
Artes, Cultura, Esporte e Recreação;8/2021;219071;11393;6918;4475
Artes, Cultura, Esporte e Recreação;8/2022;250365;13878;10338;3540
Artes, Cultura, Esporte e Recreação;9/2020;207633;5392;4984;408
Artes, Cultura, Esporte e Recreação;9/2021;222973;11586;7684;3902
Artes, Cultura, Esporte e Recreação;9/2022;252884;12824;10305;2519
Atividades Administrativas e Serviços Complementares;1/2020;4441578;216781;208509;8272
Atividades Administrativas e Serviços Complementares;1/2021;4593580;250455;226388;24067
Atividades Administrativas e Serviços Complementares;1/2022;4968937;306583;272425;34158
Atividades Administrativas e Serviços Complementares;1/2023;5238084;314350;310146;4204
Atividades Administrativas e Serviços Complementares;10/2020;4480307;266338;196777;69561
Atividades Administrativas e Serviços Complementares;10/2021;4878240;291994;248939;43055
Atividades Administrativas e Serviços Complementares;10/2022;5222356;301852;268495;33357
Atividades Administrativas e Serviços Complementares;11/2020;4564452;274391;190246;84145
Atividades Administrativas e Serviços Complementares;11/2021;4951146;312965;240059;72906
Atividades Administrativas e Serviços Complementares;11/2022;5260148;312311;274519;37792
Atividades Administrativas e Serviços Complementares;12/2020;4569513;243467;238406;5061
Atividades Administrativas e Serviços Complementares;12/2021;4934779;281463;297830;-16367
Atividades Administrativas e Serviços Complementares;12/2022;5233880;274576;300844;-26268
Atividades Administrativas e Serviços Complementares;2/2020;4457097;210762;195243;15519
Atividades Administrativas e Serviços Complementares;2/2021;4635265;258222;216537;41685
Atividades Administrativas e Serviços Complementares;2/2022;5000231;304602;273308;31294
Atividades Administrativas e Serviços Complementares;2/2023;5260118;299190;277156;22034
Atividades Administrativas e Serviços Complementares;3/2020;4421106;220710;256701;-35991
Atividades Administrativas e Serviços Complementares;3/2021;4655793;255080;234552;20528
Atividades Administrativas e Serviços Complementares;3/2022;5012297;306371;294305;12066
Atividades Administrativas e Serviços Complementares;3/2023;5284491;349640;325267;24373
Atividades Administrativas e Serviços Complementares;4/2020;4329915;126071;217262;-91191
Atividades Administrativas e Serviços Complementares;4/2021;4659609;220209;216393;3816
Atividades Administrativas e Serviços Complementares;4/2022;5027716;290937;275518;15419
Atividades Administrativas e Serviços Complementares;4/2023;5305276;305164;284379;20785
Atividades Administrativas e Serviços Complementares;5/2020;4309316;140267;160866;-20599
Atividades Administrativas e Serviços Complementares;5/2021;4686453;249665;222821;26844
Atividades Administrativas e Serviços Complementares;5/2022;5052919;301098;275895;25203
Atividades Administrativas e Serviços Complementares;5/2023;5335130;333815;303961;29854
Atividades Administrativas e Serviços Complementares;6/2020;4324439;167005;151882;15123
Atividades Administrativas e Serviços Complementares;6/2021;4719366;254643;221730;32913
Atividades Administrativas e Serviços Complementares;6/2022;5094568;303331;261682;41649
Atividades Administrativas e Serviços Complementares;7/2020;4334744;138055;127750;10305
Atividades Administrativas e Serviços Complementares;7/2021;4756505;264970;227831;37139
Atividades Administrativas e Serviços Complementares;7/2022;5114652;303041;282957;20084
Atividades Administrativas e Serviços Complementares;8/2020;4368742;202485;168487;33998
Atividades Administrativas e Serviços Complementares;8/2021;4801649;286727;241583;45144
Atividades Administrativas e Serviços Complementares;8/2022;5151722;329105;292035;37070
Atividades Administrativas e Serviços Complementares;9/2020;4410746;227405;185401;42004
Atividades Administrativas e Serviços Complementares;9/2021;4835185;276415;242879;33536
Atividades Administrativas e Serviços Complementares;9/2022;5188999;310914;273637;37277
Atividades Financeiras, de Seguros e Serviços Relacionados;1/2020;960308;14406;12676;1730
Atividades Financeiras, de Seguros e Serviços Relacionados;1/2021;962227;17172;12622;4550
Atividades Financeiras, de Seguros e Serviços Relacionados;1/2022;1018072;18488;15191;3297
Atividades Financeiras, de Seguros e Serviços Relacionados;1/2023;1052329;19889;18604;1285
Atividades Financeiras, de Seguros e Serviços Relacionados;10/2020;953916;14251;16974;-2723
Atividades Financeiras, de Seguros e Serviços Relacionados;10/2021;1008244;22460;17300;5160
Atividades Financeiras, de Seguros e Serviços Relacionados;10/2022;1049196;19132;15986;3146
Atividades Financeiras, de Seguros e Serviços Relacionados;11/2020;955402;15106;13620;1486
Atividades Financeiras, de Seguros e Serviços Relacionados;11/2021;1013586;21075;15733;5342
Atividades Financeiras, de Seguros e Serviços Relacionados;11/2022;1051989;17795;15002;2793
Atividades Financeiras, de Seguros e Serviços Relacionados;12/2020;957677;13348;11073;2275
Atividades Financeiras, de Seguros e Serviços Relacionados;12/2021;1014775;16625;15436;1189
Atividades Financeiras, de Seguros e Serviços Relacionados;12/2022;1051044;13290;14235;-945
Atividades Financeiras, de Seguros e Serviços Relacionados;2/2020;962207;14331;12432;1899
Atividades Financeiras, de Seguros e Serviços Relacionados;2/2021;965480;17736;14483;3253
Atividades Financeiras, de Seguros e Serviços Relacionados;2/2022;1021787;19167;15452;3715
Atividades Financeiras, de Seguros e Serviços Relacionados;2/2023;1051479;16942;17792;-850
Atividades Financeiras, de Seguros e Serviços Relacionados;3/2020;964044;15305;13468;1837
Atividades Financeiras, de Seguros e Serviços Relacionados;3/2021;967827;19407;17060;2347
Atividades Financeiras, de Seguros e Serviços Relacionados;3/2022;1024977;20571;17381;3190
Atividades Financeiras, de Seguros e Serviços Relacionados;3/2023;1050930;19780;20329;-549
Atividades Financeiras, de Seguros e Serviços Relacionados;4/2020;958510;5328;10862;-5534
Atividades Financeiras, de Seguros e Serviços Relacionados;4/2021;974348;20510;13989;6521
Atividades Financeiras, de Seguros e Serviços Relacionados;4/2022;1028893;21462;17546;3916
Atividades Financeiras, de Seguros e Serviços Relacionados;4/2023;1051241;19009;18698;311
Atividades Financeiras, de Seguros e Serviços Relacionados;5/2020;955167;5833;9176;-3343
Atividades Financeiras, de Seguros e Serviços Relacionados;5/2021;979717;20045;14676;5369
Atividades Financeiras, de Seguros e Serviços Relacionados;5/2022;1031827;21079;18145;2934
Atividades Financeiras, de Seguros e Serviços Relacionados;5/2023;1051421;19556;19376;180
Atividades Financeiras, de Seguros e Serviços Relacionados;6/2020;953985;7656;8838;-1182
Atividades Financeiras, de Seguros e Serviços Relacionados;6/2021;985468;21236;15485;5751
Atividades Financeiras, de Seguros e Serviços Relacionados;6/2022;1035488;21052;17391;3661
Atividades Financeiras, de Seguros e Serviços Relacionados;7/2020;954095;9966;9856;110
Atividades Financeiras, de Seguros e Serviços Relacionados;7/2021;990995;21828;16301;5527
Atividades Financeiras, de Seguros e Serviços Relacionados;7/2022;1038407;20270;17351;2919
Atividades Financeiras, de Seguros e Serviços Relacionados;8/2020;955354;11807;10548;1259
Atividades Financeiras, de Seguros e Serviços Relacionados;8/2021;996981;22451;16465;5986
Atividades Financeiras, de Seguros e Serviços Relacionados;8/2022;1042493;21921;17835;4086
Atividades Financeiras, de Seguros e Serviços Relacionados;9/2020;956639;12944;11659;1285
Atividades Financeiras, de Seguros e Serviços Relacionados;9/2021;1003084;22574;16471;6103
Atividades Financeiras, de Seguros e Serviços Relacionados;9/2022;1046050;20236;16679;3557
Atividades Imobiliárias;1/2020;158800;5654;4591;1063
Atividades Imobiliárias;1/2021;163172;6204;4203;2001
Atividades Imobiliárias;1/2022;179831;6998;5932;1066
Atividades Imobiliárias;1/2023;186249;6948;6745;203
Atividades Imobiliárias;10/2020;158766;5699;4068;1631
Atividades Imobiliárias;10/2021;177011;6731;5674;1057
Atividades Imobiliárias;10/2022;186853;6567;5817;750
Atividades Imobiliárias;11/2020;160463;5333;3636;1697
Atividades Imobiliárias;11/2021;178791;6939;5159;1780
Atividades Imobiliárias;11/2022;186989;6055;5919;136
Atividades Imobiliárias;12/2020;161171;4604;3896;708
Atividades Imobiliárias;12/2021;178765;5617;5643;-26
Atividades Imobiliárias;12/2022;186046;4802;5745;-943
Atividades Imobiliárias;2/2020;159896;5649;4553;1096
Atividades Imobiliárias;2/2021;164913;6402;4661;1741
Atividades Imobiliárias;2/2022;181207;7918;6542;1376
Atividades Imobiliárias;2/2023;186633;6753;6369;384
Atividades Imobiliárias;3/2020;159908;5085;5073;12
Atividades Imobiliárias;3/2021;166444;6198;4667;1531
Atividades Imobiliárias;3/2022;182506;8117;6818;1299
Atividades Imobiliárias;3/2023;187273;8282;7642;640
Atividades Imobiliárias;4/2020;156302;1678;5284;-3606
Atividades Imobiliárias;4/2021;167903;5640;4181;1459
Atividades Imobiliárias;4/2022;183558;7526;6474;1052
Atividades Imobiliárias;4/2023;187931;7115;6457;658
Atividades Imobiliárias;5/2020;154688;2353;3967;-1614
Atividades Imobiliárias;5/2021;169244;6156;4815;1341
Atividades Imobiliárias;5/2022;184283;7715;6990;725
Atividades Imobiliárias;5/2023;188404;7530;7057;473
Atividades Imobiliárias;6/2020;154225;2907;3370;-463
Atividades Imobiliárias;6/2021;171000;6521;4765;1756
Atividades Imobiliárias;6/2022;184764;7107;6626;481
Atividades Imobiliárias;7/2020;154874;4181;3532;649
Atividades Imobiliárias;7/2021;172672;6551;4879;1672
Atividades Imobiliárias;7/2022;184815;7187;7136;51
Atividades Imobiliárias;8/2020;155876;4479;3477;1002
Atividades Imobiliárias;8/2021;174413;7029;5288;1741
Atividades Imobiliárias;8/2022;185463;7546;6898;648
Atividades Imobiliárias;9/2020;157135;5094;3835;1259
Atividades Imobiliárias;9/2021;175954;7114;5573;1541
Atividades Imobiliárias;9/2022;186103;6880;6240;640
Atividades Profissionais, Científicas e Técnicas;1/2020;1120846;48125;39035;9090
Atividades Profissionais, Científicas e Técnicas;1/2021;1167066;56218;38103;18115
Atividades Profissionais, Científicas e Técnicas;1/2022;1313286;68337;55437;12900
Atividades Profissionais, Científicas e Técnicas;1/2023;1424987;72463;62713;9750
Atividades Profissionais, Científicas e Técnicas;10/2020;1138981;55301;35761;19540
Atividades Profissionais, Científicas e Técnicas;10/2021;1294052;64896;54218;10678
Atividades Profissionais, Científicas e Técnicas;10/2022;1416535;67654;57677;9977
Atividades Profissionais, Científicas e Técnicas;11/2020;1152354;49014;35641;13373
Atividades Profissionais, Científicas e Técnicas;11/2021;1307849;64444;50647;13797
Atividades Profissionais, Científicas e Técnicas;11/2022;1425971;64826;55390;9436
Atividades Profissionais, Científicas e Técnicas;12/2020;1148951;37908;41311;-3403
Atividades Profissionais, Científicas e Técnicas;12/2021;1300386;50565;58028;-7463
Atividades Profissionais, Científicas e Técnicas;12/2022;1415237;49306;60040;-10734
Atividades Profissionais, Científicas e Técnicas;2/2020;1127981;45017;37882;7135
Atividades Profissionais, Científicas e Técnicas;2/2021;1182567;56608;41107;15501
Atividades Profissionais, Científicas e Técnicas;2/2022;1326986;69730;56030;13700
Atividades Profissionais, Científicas e Técnicas;2/2023;1433240;66682;58429;8253
Atividades Profissionais, Científicas e Técnicas;3/2020;1125959;44777;46799;-2022
Atividades Profissionais, Científicas e Técnicas;3/2021;1198769;61028;44826;16202
Atividades Profissionais, Científicas e Técnicas;3/2022;1340192;75264;62058;13206
Atividades Profissionais, Científicas e Técnicas;3/2023;1443075;79286;69451;9835
Atividades Profissionais, Científicas e Técnicas;4/2020;1103374;18259;40844;-22585
Atividades Profissionais, Científicas e Técnicas;4/2021;1211041;55510;43238;12272
Atividades Profissionais, Científicas e Técnicas;4/2022;1350949;69844;59087;10757
Atividades Profissionais, Científicas e Técnicas;4/2023;1450692;66151;58534;7617
Atividades Profissionais, Científicas e Técnicas;5/2020;1092569;21485;32290;-10805
Atividades Profissionais, Científicas e Técnicas;5/2021;1225753;60127;45415;14712
Atividades Profissionais, Científicas e Técnicas;5/2022;1362969;71266;59246;12020
Atividades Profissionais, Científicas e Técnicas;5/2023;1454923;70531;66300;4231
Atividades Profissionais, Científicas e Técnicas;6/2020;1088680;26518;30407;-3889
Atividades Profissionais, Científicas e Técnicas;6/2021;1240649;59421;44525;14896
Atividades Profissionais, Científicas e Técnicas;6/2022;1374307;67870;56532;11338
Atividades Profissionais, Científicas e Técnicas;7/2020;1094342;35063;29401;5662
Atividades Profissionais, Científicas e Técnicas;7/2021;1254520;62309;48438;13871
Atividades Profissionais, Científicas e Técnicas;7/2022;1383852;67349;57804;9545
Atividades Profissionais, Científicas e Técnicas;8/2020;1107108;43322;30556;12766
Atividades Profissionais, Científicas e Técnicas;8/2021;1269816;64957;49661;15296
Atividades Profissionais, Científicas e Técnicas;8/2022;1396884;74346;61314;13032
Atividades Profissionais, Científicas e Técnicas;9/2020;1119441;45533;33200;12333
Atividades Profissionais, Científicas e Técnicas;9/2021;1283374;64625;51067;13558
Atividades Profissionais, Científicas e Técnicas;9/2022;1406558;72077;62403;9674
"Comércio; reparação de veículos automotores e motocicletas";1/2020;8586009;308116;361605;-53489
"Comércio; reparação de veículos automotores e motocicletas";1/2021;8662868;343287;336315;6972
"Comércio; reparação de veículos automotores e motocicletas";1/2022;9252960;368425;428513;-60088
"Comércio; reparação de veículos automotores e motocicletas";1/2023;9613485;401624;455148;-53524
"Comércio; reparação de veículos automotores e motocicletas";10/2020;8419309;397125;282943;114182
"Comércio; reparação de veículos automotores e motocicletas";10/2021;9164748;433236;362881;70355
"Comércio; reparação de veículos automotores e motocicletas";10/2022;9578315;443634;394278;49356
"Comércio; reparação de veículos automotores e motocicletas";11/2020;8596744;436572;259137;177435
"Comércio; reparação de veículos automotores e motocicletas";11/2021;9304035;475000;335713;139287
"Comércio; reparação de veículos automotores e motocicletas";11/2022;9684284;476560;370591;105969
"Comércio; reparação de veículos automotores e motocicletas";12/2020;8655896;360180;301028;59152
"Comércio; reparação de veículos automotores e motocicletas";12/2021;9313048;390748;381735;9013
"Comércio; reparação de veículos automotores e motocicletas";12/2022;9667009;387648;404923;-17275
"Comércio; reparação de veículos automotores e motocicletas";2/2020;8592252;333131;326888;6243
"Comércio; reparação de veículos automotores e motocicletas";2/2021;8728804;386423;320487;65936
"Comércio; reparação de veículos automotores e motocicletas";2/2022;9266179;428466;415247;13219
"Comércio; reparação de veículos automotores e motocicletas";2/2023;9612160;419008;420333;-1325
"Comércio; reparação de veículos automotores e motocicletas";3/2020;8519525;311296;384023;-72727
"Comércio; reparação de veículos automotores e motocicletas";3/2021;8742940;352666;338530;14136
"Comércio; reparação de veículos automotores e motocicletas";3/2022;9266531;435469;435117;352
"Comércio; reparação de veículos automotores e motocicletas";3/2023;9630715;492497;473942;18555
"Comércio; reparação de veículos automotores e motocicletas";4/2020;8276328;116937;360134;-243197
